pmid,title,journal,year,overall_calib_reported,overall_calib_slope_CI_reported,overall_calib_plot_band,subgroup_calib_reported_any,subgroup_stratifiers,subgroup_interval_aware,subgroup_point_only,subgroup_slope_CI_per_stratifier,masking_overall_pass_subgroup_fail,masking_definition,triPod_AI_era,PROBAST_overall,extraction_reviewer,dual_overlap_flag,adjudication_note,rayyan_label,Wilson_p_interval_aware_stub,notes
35026997,Completeness of reporting of clinical prediction models developed using supervised machine learning: a systematic review.,BMC medical research methodology,2022,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,unclear,R1,0,,include,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
36749371,Quality of radiomics for predicting microvascular invasion in hepatocellular carcinoma: a systematic review.,European radiology,2023,0,0,0,1,race_ethnicity;PROGRESS_other,0,1,race_ethnicity;PROGRESS_other:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,low,R1,0,,include,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
40891023,Development and Validation of a Machine Learning-Based Risk Prediction Model for Delirium in Older Inpatients: A Prospective Cohort Study.,Journal of advanced nursing,2026,1,0,0,1,comorbidity,1,0,comorbidity:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,R1,0,,include,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
41858761,Development and internal-external validation of a risk prediction model for acute pain after HAIC for patients with liver cancer using logistic regression and XGBoost algorithm.,Asia-Pacific journal of oncology nursing,2026,1,1,1,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,R1,0,,include,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
39010044,Development and validation of a model to predict ceiling of care in COVID-19 hospitalized patients.,BMC palliative care,2024,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,low,R1,0,,exclude,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
39178283,Using machine learning methods to predict all-cause somatic hospitalizations in adults: A systematic review.,PloS one,2024,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
36431165,Modeling Physiological Predictors of Running Velocity for Endurance Athletes.,Journal of clinical medicine,2022,1,0,0,1,PROGRESS_other,0,1,PROGRESS_other:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,low,R1,0,,include,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
26767405,Systematic review of risk prediction models for falls after stroke.,Journal of epidemiology and community health,2016,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,R1,0,,exclude,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
35585563,Quality and transparency of reporting derivation and validation prognostic studies of recurrent stroke in patients with TIA and minor stroke: a systematic review.,Diagnostic and prognostic research,2022,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),pre-2024,high,R1,0,,include,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
38726948,Systematic Review of Prognosis Models in Predicting Tooth Loss in Periodontitis.,Journal of dental research,2024,1,0,0,1,deprivation;age_decile,1,0,deprivation;age_decile:CI=yes,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,include,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
40447991,Development with external validation of a prediction model for postoperative acute kidney injury following noncardiac surgery in elderly patients.,BMC geriatrics,2025,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (band-considered per Riley),2024-2025,high,R1,0,,exclude,,full n=60 v2 — n=40→60 extension synthetic pilot-extended + 20 NEW PMIDs via E-utilities; interval-aware per Riley 10.1136/bmj-2024-080749; TRIPOD+AI 10.1136/bmj-2023-078378 era split
